time,agentID,x,y,z,action
2457,1,2.95,0.105,7.1,walk
2460,1,2.95,0.105,7.1,walk
2463,1,2.95,0.105,7.1,walk
2466,1,2.95,0.105,7.1,walk
2469,1,2.95,0.105,7.1,walk
2472,1,2.95,0.105,7.1,walk
2475,1,2.95,0.105,7.1,walk
2478,1,2.95,0.105,7.1,walk
2481,1,2.95,0.105,7.1,walk
2484,1,2.95,0.105,7.1,walk
2487,1,2.95,0.105,7.1,walk
2490,1,2.95,0.105,7.1,walk
2493,1,2.725,0.105,8.65,walk
2496,1,2.5,0.105,10.2,walk
2499,1,2.5,0.105,10.2,walk
2502,1,2.725,0.105,8.65,walk
2505,1,2.95,0.105,7.1,walk
2508,1,2.95,0.105,7.1,walk
2511,1,2.95,0.105,7.1,walk
2514,1,2.95,0.105,7.1,walk
2517,1,2.95,0.105,7.1,walk
2520,1,2.95,0.105,7.1,walk
2523,1,2.95,0.105,7.1,walk
2526,1,2.95,0.105,7.1,walk
2529,1,2.725,0.105,8.65,walk
2532,1,2.86,0.105,7.72,walk
2535,1,2.59,0.105,9.58,walk
2538,1,1.166667,0.105,7.8,walk
2541,1,0.5,0.105,6.6,walk
2544,1,0.5,0.105,6.6,walk
2547,1,0.5,0.105,6.6,walk
2550,1,0.5,0.105,6.6,walk
2553,1,1.316667,0.105,6.766667,walk
2556,1,2.95,0.105,7.1,walk
2559,1,2.95,0.105,7.1,walk
2562,1,2.95,0.105,7.1,walk
2565,1,2.95,0.105,7.1,walk
2568,1,2.95,0.105,7.1,walk
2571,1,2.95,0.105,7.1,walk
2574,1,2.95,0.105,7.1,walk
2577,1,2.95,0.105,7.1,walk
2580,1,2.95,0.105,7.1,walk
2581,1,2.95,0.105,7.1,walk
2583,1,1.725,0.105,6.85,walk
2586,1,0.5,0.105,6.6,walk
2587,1,0.5,0.105,6.6,walk
2588,1,0.5,0.105,6.6,walk
2589,1,0.558333,0.105,6.611905,walk
